,sme_ban,point_est_date,total_sales,total_points,total_order,version
384,76489682,2023-06-19 13:06:16,23400,11700,1,NCF Model
385,91747371,2023-06-15 12:02:50,60000,30000,1,NCF Model
386,42574915,2023-06-13 14:21:18,38400,19200,3,NCF Model
387,38917615,2023-06-10 17:31:48,60000,30000,1,NCF Model
388,94075398,2023-06-12 15:34:07,35400,17700,1,NCF Model
389,42215762,2023-06-08 13:17:39,60000,30000,2,NCF Model
390,42640324,2023-06-01 18:57:58,23400,11700,1,NCF Model
391,87050060,2023-06-09 12:53:01,60000,30000,1,NCF Model
392,90197763,2023-06-17 11:53:57,60000,30000,1,NCF Model
393,81202836,2023-06-16 13:13:17,60000,30000,1,NCF Model
394,24451692,2023-06-08 14:58:23,28800,14400,2,NCF Model
395,64966149,2023-06-12 11:16:39,0,0,0,NCF Model
396,78750366,2023-06-15 14:55:22,0,0,0,NCF Model
397,90000760,2023-06-04 14:51:07,60000,30000,2,NCF Model
398,91007988,2023-06-01 14:12:15,60000,30000,1,NCF Model
399,28738352,2023-06-09 14:07:04,48000,24000,4,NCF Model
400,91226225,2023-06-05 13:22:48,60000,30000,1,NCF Model
401,42588994,2023-06-09 16:37:12,60000,30000,1,NCF Model
402,90682499,2023-06-14 16:53:10,23400,11700,1,NCF Model
403,28343055,2023-06-05 10:36:48,40000,20000,1,NCF Model
404,92428163,2023-06-15 20:18:55,35256,17628,1,NCF Model
405,13845951,2023-06-05 20:43:05,66800,30000,1,NCF Model
406,87238852,2023-06-17 14:40:19,60000,30000,1,NCF Model
407,66265163,2023-06-13 10:32:42,60000,30000,1,NCF Model
408,87413393,2023-06-19 14:23:42,59280,29640,2,NCF Model
409,79846158,2023-06-12 13:46:32,60000,30000,1,NCF Model
410,92243399,2023-06-07 15:13:35,23400,11700,1,NCF Model
411,91099038,2023-06-07 11:27:04,30000,15000,1,NCF Model
412,84254822,2023-06-05 11:09:37,48000,24000,4,NCF Model
413,53847836,2023-06-15 11:40:14,13200,6600,2,NCF Model
414,52563493,2023-06-15 18:41:28,63000,30000,1,NCF Model
415,93361008,2023-06-07 12:20:07,19200,9600,1,NCF Model
416,26760510,2023-06-01 10:40:44,53000,26500,3,NCF Model
417,31719415,2023-06-14 12:02:32,60000,30000,1,NCF Model
418,55685028,2023-06-02 11:55:44,0,0,0,NCF Model
419,91442434,2023-06-18 23:52:21,19200,9600,1,NCF Model
420,79962727,2023-06-09 15:15:32,25000,12500,1,NCF Model
421,91786654,2023-06-07 14:15:01,23400,11700,1,NCF Model
422,94759619,2023-06-10 20:07:31,60000,30000,2,NCF Model
423,92645339,2023-06-17 22:02:19,22200,11100,1,NCF Model
