encoded,original
1124,85902297
1125,83487746
1126,10960392
1127,92247368
1128,85871105
1129,69617487
1130,50911762
1131,90467246
1132,91168695
1133,16370345
1134,69306126
1135,45679096
1136,83377332
1137,40733466
1138,79823325
1139,56608204
1140,82800070
1141,88628885
1142,13054008
1143,90042332
1144,50670911
1145,88649164
1146,79827672
1147,87507666
1148,79843217
1149,90026797
1150,34757834
1151,92126694
1152,89178211
1153,66357281
1154,88996516
1155,82060440
1156,90136669
1157,90738304
1158,31719999
1159,28340368
1160,38790172
1161,91248889
1162,87103186
1163,85640180
1164,94049792
1165,26726794
1166,91072116
1167,82838272
1168,70476339
1169,50833387
1170,53772639
1171,91024902
1172,24752135
1173,27997464
1174,42779683
1175,80375248
1176,89301943
1177,91225231
1178,13178417
1179,56642076
1180,12289169
1181,91849882
1182,85513092
1183,72602500
1184,90595050
1185,87347129
1186,90099828
1187,83730094
1188,12604074
1189,2149324
1190,45424284
1191,53153460
1192,86613534
1193,92559848
1194,97227833
1195,83164350
1196,23152008
1197,53615842
1198,81469855
1199,50590282
1200,50536470
1201,92557222
1202,85433416
1203,92302713
1204,60562709
1205,82284758
1206,88665142
1207,24290401
1208,23160577
1209,16880136
1210,27285346
1211,54130579
1212,54214541
1213,90165208
1214,45146022
1215,80664438
1216,80014060
1217,40718991
1218,54720651
1219,88995410
1220,10806053
1221,53583264
1222,76479832
1223,91009281
1224,29249304
1225,2164942
1226,5589485
1227,72741377
1228,88199821
1229,25946877
1230,75971490
1231,91848429
1232,72346903
1233,81038630
1234,55956422
1235,87262135
1236,90638207
1237,75937249
1238,91943269
1239,28203878
1240,80504720
1241,83472928
1242,81279588
1243,54740919
1244,90541230
1245,17160424
1246,81034894
1247,83030260
1248,92605343
1249,52652410
1250,52677051
1251,12161450
1252,86662176
1253,90087273
1254,61842216
1255,87504400
1256,24965897
1257,45888740
1258,55693370
1259,89194633
1260,27243249
1261,23742384
1262,28906913
1263,12936200
1264,53176273
1265,88489928
1266,41334451
1267,75351386
1268,57935439
1269,88973128
1270,91819395
1271,60272650
1272,24913857
1273,91507098
1274,90579951
1275,72196329
1276,83742654
1277,90322278
1278,88153563
1279,82844112
1280,53091802
1281,80501940
1282,80606178
1283,53416105
1284,91044203
1285,92548202
1286,28015829
1287,54751226
1288,73817070
1289,91935438
1290,54368355
1291,80225425
1292,55844449
1293,50782747
1294,54790207
1295,89154772
1296,90388019
1297,51324586
1298,82798335
1299,87689645
1300,73084907
1301,53163072
1302,90127508
1303,53763673
1304,89324684
1305,66450532
1306,50798733
1307,72490168
1308,76339087
1309,83054852
1310,54355859
1311,91671436
1312,89106940
1313,91246480
1314,76466153
1315,88204107
1316,24319499
1317,45107365
1318,24306023
1319,60593409
1320,54095600
1321,92247016
1322,88583971
1323,54511514
1324,42923006
1325,97035928
1326,91517379
1327,72513417
1328,26101545
1329,54900197
1330,97265667
1331,90040046
1332,82861293
1333,27896825
1334,54565095
1335,66349945
1336,80708246
1337,56696369
1338,5912147
1339,97465692
1340,83745771
1341,42788727
1342,91438190
1343,85467251
1344,88293163
1345,80769398
1346,88098936
1347,90215615
1348,90454663
1349,28350822
1350,82814665
1351,91114636
1352,85100141
1353,90167923
1354,42655233
1355,91241823
1356,16998640
1357,28115192
1358,84813311
1359,90384288
1360,99204821
1361,24902704
1362,29202440
1363,90146884
1364,47821210
1365,91899117
1366,54076033
1367,53219651
1368,13078640
1369,23945901
1370,53475906
1371,80548516
1372,69379268
1373,21478373
1374,86095722
1375,90378477
1376,87873001
1377,88942596
1378,4191494
1379,83109934
1380,88550943
1381,88582826
1382,22343135
1383,82923832
1384,24350420
1385,16897946
1386,91318456
1387,53394876
1388,24359203
1389,28486010
1390,23516943
1391,83191363
1392,22908148
1393,54173507
1394,53394215
1395,88481427
1396,97008627
1397,61812206
1398,90867427
1399,13449018
1400,88989634
1401,90016051
1402,90856527
1403,91690665
1404,88645028
1405,83630193
1406,91174140
1407,91522485
1408,69443557
1409,89755183
1410,80722633
1411,82827583
1412,83349890
1413,43779818
1414,90881954
1415,55737291
1416,81313278
1417,87258337
1418,77386220
1419,16096277
1420,80217614
1421,83768149
1422,90597120
1423,70405031
1424,58543609
1425,70406600
1426,53475265
1427,12854615
1428,8920466
1429,42753001
1430,41221180
1431,90414001
1432,53315042
1433,88630539
1434,27714944
1435,91435314
1436,90304216
1437,87228550
1438,99376470
1439,40588815
1440,24432020
1441,90206658
1442,92536424
1443,92226693
1444,92275167
1445,90608745
1446,54822003
1447,54633137
1448,24824588
1449,84646237
1450,20833240
1451,84987939
1452,53697837
1453,72314064
1454,27723845
1455,53518980
1456,25058268
1457,84055865
1458,90184747
