mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dense_layer_sizes,param_embedding_dim,param_epochs,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
41.30158178011576,0.31238663065712474,0.4767257372538249,0.041568756512992536,64,"(128, 64)",8,30,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.0005}",-1144180224.0,-1084256896.0,-1079516160.0,-1102651093.3333333,29429239.030848548,16
41.66490928332011,0.7537534666660801,0.45821603139241535,0.024259893483994828,64,"(128, 64)",8,30,0.001,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.001}",-1301081984.0,-1199047936.0,-2899337216.0,-1799822378.6666667,778589491.6984715,54
41.60784522692362,0.4067413396076579,0.45259825388590497,0.002067957144880198,64,"(128, 64)",8,30,0.01,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 30, 'learning_rate': 0.01}",-1243899136.0,-1401907712.0,-1373781632.0,-1339862826.6666667,68821225.11172147,40
53.67914295196533,0.8022857071928104,0.4514644145965576,0.026701979113151964,64,"(128, 64)",8,40,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.0005}",-1087149568.0,-1047666944.0,-1131048960.0,-1088621824.0,34056480.5517072,14
63.02557190259298,13.949700123715056,0.4590960343678792,0.028164906893983665,64,"(128, 64)",8,40,0.001,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.001}",-815362240.0,-1065378688.0,-1056284480.0,-979008469.3333334,115774903.54433544,2
54.314930041631065,0.46366781791945616,0.45104463895161945,0.014860164541727956,64,"(128, 64)",8,40,0.01,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 40, 'learning_rate': 0.01}",-1137689472.0,-1299273984.0,-1221873664.0,-1219612373.3333333,65985976.82426623,26
39.286553064982094,1.9081346632537572,0.7484416166941324,0.425185328638765,64,"(128, 64)",16,20,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 16, 'epochs': 20, 'learning_rate': 0.0005}",-2769834752.0,-6186654208.0,-3806935808.0,-4254474922.6666665,1430357121.629071,59
37.93525369962057,0.7280559001355855,0.45618875821431476,0.006482679446601508,64,"(128, 64)",16,20,0.001,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 16, 'epochs': 20, 'learning_rate': 0.001}",-1303953536.0,-1071424192.0,-1583906048.0,-1319761258.6666667,209518219.1826936,35
37.48889549573263,0.776449795093579,0.4432085355122884,0.004927455142615755,64,"(128, 64)",16,20,0.01,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 16, 'epochs': 20, 'learning_rate': 0.01}",-1212285184.0,-788725696.0,-974126336.0,-991712405.3333334,173363995.38668758,4
65.76014018058777,11.993609571704948,0.43686874707539874,0.0022717604878035318,64,"(128, 64)",16,30,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 16, 'epochs': 30, 'learning_rate': 0.0005}",-1007798080.0,-16526145536.0,-93860388864.0,-37131444160.0,40610627938.70099,67
58.033364375432335,0.21344458793894802,0.4705498218536377,0.01812563697250397,64,"(128, 64)",16,30,0.001,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 16, 'epochs': 30, 'learning_rate': 0.001}",-1268000384.0,-1097029376.0,-1019400192.0,-1128143317.3333333,103847875.51856738,21
56.32712999979655,0.29044173110584204,0.4575935999552409,0.0005175822387545638,64,"(128, 64)",16,30,0.01,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 16, 'epochs': 30, 'learning_rate': 0.01}",-1410524416.0,-1500104576.0,-1411512704.0,-1440713898.6666667,41997488.76521724,45
74.68782432874043,0.8922760629694909,0.47722967465718585,0.009647239398575013,64,"(128, 64)",16,40,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 16, 'epochs': 40, 'learning_rate': 0.0005}",-1189647744.0,-2181723717632.0,-1229401472.0,-728047588949.3334,1027904248368.6433,72
75.95104988416035,0.997451107752433,0.46398115158081055,0.022766882511571267,64,"(128, 64)",16,40,0.001,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 16, 'epochs': 40, 'learning_rate': 0.001}",-1104267776.0,-870985344.0,-1217777152.0,-1064343424.0,144364365.26128864,11
76.46702170372009,0.9312343497376389,0.48369773228963214,0.027652637997183288,64,"(128, 64)",16,40,0.01,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 16, 'epochs': 40, 'learning_rate': 0.01}",-1138836224.0,-1378797568.0,-1383160576.0,-1300264789.3333333,114161129.51697035,32
